RequSpec,AccSpeciesName,ObservationID,ObsDataID,TraitName,F1,DataName,DataID,OrigValueStr,OrigUnitStr,StdValue,UnitName
5823,Astragalus canadensis,2502302,20689503,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",3117,SLA: undefined if petiole in- or excluded (1),6598,106,cm2 g-1,10.6,mm2 mg-1
5823,Astragalus canadensis,2502302,20689504,Leaf photosynthesis rate per leaf dry mass,40,Photosynthesis per leaf dry mass (Amass),45,273.48,nmol g-1 s-1,0.27348,micro mol g-1 s-1
5823,Astragalus canadensis,2502302,20689507,Leaf nitrogen (N) content per leaf area,50,Leaf nitrogen content per area (Narea),65,3.95,gN m-2,3.95,g m-2
5823,Astragalus canadensis,3030059,29972663,Leaf photosynthesis rate per leaf dry mass,40,Photosynthesis per leaf dry mass (Amass),45,273.48,nmol g-1s-1,0.27348,micro mol g-1 s-1
5823,Astragalus canadensis,3030059,29972664,Leaf respiration rate in the dark per leaf dry mass,41,Leaf respiration per dry mass,46,20.8,nmol g-1s-1,0.0208,micro mol g-1 s-1
5823,Astragalus canadensis,3030059,29972658,Species genotype: chromosome number,223,Chromosome number,602,16,,,
5823,Astragalus canadensis,3030059,29972659,Species genotype: chromosome ploidy,222,Chromosome ploidy,601,2,,,
5823,Astragalus canadensis,3030059,29972661,Plant growth form,42,Plant growth form,47,H,,,
5823,Astragalus canadensis,3030059,29972662,Plant growth form,42,Genera growth form,7059,HS,,,
5823,Astragalus canadensis,3030059,29972660,Species genotype: chromosome cDNA content,224,Chromosome cDNA content,603,1.725,pg/2C-Nucleus,1.725,pg
5823,Astragalus canadensis,3030059,29972666,Leaf nitrogen (N) content per leaf dry mass,14,Leaf nitrogen content per dry mass (Nmass),15,4.13,%,41.3,mg/g
5823,Astragalus canadensis,3030059,29972665,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",3117,SLA: undefined if petiole in- or excluded,6584,106,SLA cm2/g,10.6,mm2 mg-1
5823,Astragalus canadensis,3030059,50882687,Leaf respiration rate in the dark per leaf area,54,Leaf respiration per area at leaf temperature,69,,,1.962264151,micro mol m-2 s-1
5823,Astragalus canadensis,3030059,50875959,Leaf photosynthesis rate per leaf area,53,Photosynthesis per leaf area at leaf temperature (A_area),68,,,25.8,micro mol m-2 s-1
5823,Astragalus canadensis,3030059,50834171,Leaf nitrogen (N) content per leaf area,50,Leaf nitrogen content per area (Narea),65,,,3.896226415,g m-2
5823,Astragalus canadensis,39776,780951,Seed germination rate (germination efficiency),95,Seed germination efficiency (seed viability),291,100,%,100,%
5823,Astragalus canadensis,48640,819498,Seed oil content per seed mass,96,Seed oil content per mass at given moisture status,295,2.8,%,2.8,%
5823,Astragalus canadensis,51981,832981,Seed protein content per seed mass,97,Seed protein content per mass at given moisture status,297,40.2,%,40.2,%
5823,Astragalus canadensis,60213,870405,Seed dry mass,26,Seed dry mass,30,1.6,g / 1000 seeds,1.6,mg
5823,Astragalus canadensis,60829,873464,Seed dry mass,26,Seed dry mass,30,1.6,g / 1000 seeds,1.6,mg
5823,Astragalus canadensis,72335,930119,Seed dry mass,26,Seed dry mass,30,1.6,g / 1000 seeds,1.6,mg
5823,Astragalus canadensis,76622,950410,Seed dry mass,26,Seed dry mass,30,1.6,g / 1000 seeds,1.6,mg
5823,Astragalus canadensis,81095,970457,Seed storage behaviour,98,Seed storage behaviour,299,Orthodox,,,
5823,Astragalus canadensis,94282,1024235,Plant growth form,42,Plant growth form,47,herbaceous dicotyl,,,
5823,Astragalus canadensis,94282,1024238,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",3115,SLA: petiole  excluded,6582,251,cm2/g,25.1,mm2 mg-1
5823,Astragalus canadensis,94282,1024237,Leaf photosynthesis rate per leaf area,53,Net assimilation rate (NAR),334,0.000481,g/cm2/d,4.81,g/m2/d
5823,Astragalus canadensis,94282,1024239,"Plant biomass and allometry: Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",110,"Leaf weight ratio (LWR, LMR) (Leaf dry mass per plant dry mass)",336,0.51,g(leaf)/g(plant),0.51,g g-1
5823,Astragalus canadensis,94282,1024236,"Plant growth rate relative (plant relative growth rate, RGR)",77,Plant relative growth rate (RGR),257,0.062,g/g/d,0.062,1/day
5823,Astragalus canadensis,254361,2482027,Leaf phenology type,37,Leaf phenology type,42,deciduous,,,
5823,Astragalus canadensis,267996,2509297,Leaf photosynthesis pathway,22,Plant photosynthetic pathway,25,C3,,,
5823,Astragalus canadensis,288829,2550963,Plant growth form,42,Plant growth form,47,herb,,,
5823,Astragalus canadensis,288830,2550965,Plant growth form,42,Plant growth form,47,shrub,,,
5823,Astragalus canadensis,288831,2550967,Plant growth form,42,Plant growth form,47,shrub,,,
5823,Astragalus canadensis,307873,2589051,Leaf compoundness,17,Leaf compoundness,18,compound,,,
5823,Astragalus canadensis,328688,2630681,Plant woodiness,38,Woodiness,43,woody,,,
5823,Astragalus canadensis,758071,3446915,Leaf shape,154,Leaf aspect ratio (width/length),820,0.2898,cm/cm,,
5823,Astragalus canadensis,758071,3446916,Leaf shape,154,Leaf perimeter per leaf area,1541,0.1404,cm/cm2,,
5823,Astragalus canadensis,758071,3446910,"Leaf area (in case of compound leaves: leaf, petiole included)",3110,Leaf area: in case of compound leaves leaf; petiole and rhachis included,6577,22.3291,cm2,2232.91,mm2
5823,Astragalus canadensis,758071,3446911,Leaf fresh mass,163,Leaf fresh mass,485,0.7455,g,0.7455,g
5823,Astragalus canadensis,758071,3446914,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",3116,SLA: petiole  included,6583,9.43748943364328,m2/kg,9.437489434,mm2 mg-1
5823,Astragalus canadensis,758071,3446913,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",47,Leaf dry matter content per leaf water-saturated mass (LDMC),258,31.7370892018779,%,0.317370892,g g-1
5823,Astragalus canadensis,758071,3446912,Leaf dry mass (single leaf),55,Leaf dry mass,73,0.2366,g,236.6,mg
5823,Astragalus canadensis,758072,3446927,Leaf shape,154,Leaf aspect ratio (width/length),820,0.5083,cm/cm,,
5823,Astragalus canadensis,758072,3446922,"Leaf area (in case of compound leaves: leaf, petiole included)",3110,Leaf area: in case of compound leaves leaf; petiole and rhachis included,6577,23.0569,cm2,2305.69,mm2
5823,Astragalus canadensis,758072,3446923,Leaf fresh mass,163,Leaf fresh mass,485,0.7994,g,0.7994,g
5823,Astragalus canadensis,758072,3446926,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",3116,SLA: petiole  included,6583,10.9222643297016,m2/kg,10.92226433,mm2 mg-1
5823,Astragalus canadensis,758072,3446925,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",47,Leaf dry matter content per leaf water-saturated mass (LDMC),258,26.4073054791093,%,0.264073055,g g-1
5823,Astragalus canadensis,758072,3446924,Leaf dry mass (single leaf),55,Leaf dry mass,73,0.2111,g,211.1,mg
5823,Astragalus canadensis,758073,3446938,Leaf shape,154,Leaf aspect ratio (width/length),820,0.6146,cm/cm,,
5823,Astragalus canadensis,758073,3446939,Leaf shape,154,Leaf perimeter per leaf area,1541,0.0786,cm/cm2,,
5823,Astragalus canadensis,758073,3446933,"Leaf area (in case of compound leaves: leaf, petiole included)",3110,Leaf area: in case of compound leaves leaf; petiole and rhachis included,6577,15.7792,cm2,1577.92,mm2
5823,Astragalus canadensis,758073,3446934,Leaf fresh mass,163,Leaf fresh mass,485,0.366,g,0.366,g
5823,Astragalus canadensis,758073,3446937,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",3116,SLA: petiole  included,6583,17.0034482758621,m2/kg,17.00344828,mm2 mg-1
5823,Astragalus canadensis,758073,3446936,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",47,Leaf dry matter content per leaf water-saturated mass (LDMC),258,25.3551912568306,%,0.253551913,g g-1
5823,Astragalus canadensis,758073,3446935,Leaf dry mass (single leaf),55,Leaf dry mass,73,0.0928,g,92.8,mg
5823,Astragalus canadensis,758074,3446950,Leaf shape,154,Leaf aspect ratio (width/length),820,0.365,cm/cm,,
5823,Astragalus canadensis,758074,3446951,Leaf shape,154,Leaf perimeter per leaf area,1541,0.0357,cm/cm2,,
5823,Astragalus canadensis,758074,3446945,"Leaf area (in case of compound leaves: leaf, petiole included)",3110,Leaf area: in case of compound leaves leaf; petiole and rhachis included,6577,28.8822,cm2,2888.22,mm2
5823,Astragalus canadensis,758074,3446946,Leaf fresh mass,163,Leaf fresh mass,485,0.623,g,0.623,g
5823,Astragalus canadensis,758074,3446949,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",3116,SLA: petiole  included,6583,18.5976819059884,m2/kg,18.59768191,mm2 mg-1
5823,Astragalus canadensis,758074,3446948,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",47,Leaf dry matter content per leaf water-saturated mass (LDMC),258,24.9277688603531,%,0.249277689,g g-1
5823,Astragalus canadensis,758074,3446947,Leaf dry mass (single leaf),55,Leaf dry mass,73,0.1553,g,155.3,mg
5823,Astragalus canadensis,758075,3446962,Leaf shape,154,Leaf aspect ratio (width/length),820,0.4045,cm/cm,,
5823,Astragalus canadensis,758075,3446963,Leaf shape,154,Leaf perimeter per leaf area,1541,0.1344,cm/cm2,,
5823,Astragalus canadensis,758075,3446957,"Leaf area (in case of compound leaves: leaf, petiole included)",3110,Leaf area: in case of compound leaves leaf; petiole and rhachis included,6577,18.7231,cm2,1872.31,mm2
5823,Astragalus canadensis,758075,3446958,Leaf fresh mass,163,Leaf fresh mass,485,0.3378,g,0.3378,g
5823,Astragalus canadensis,758075,3446961,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",3116,SLA: petiole  included,6583,19.0662932790224,m2/kg,19.06629328,mm2 mg-1
5823,Astragalus canadensis,758075,3446960,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",47,Leaf dry matter content per leaf water-saturated mass (LDMC),258,29.0704558910598,%,0.290704559,g g-1
5823,Astragalus canadensis,758075,3446959,Leaf dry mass (single leaf),55,Leaf dry mass,73,0.0982,g,98.2,mg
5823,Astragalus canadensis,758076,3446974,Leaf shape,154,Leaf aspect ratio (width/length),820,0.3376,cm/cm,,
5823,Astragalus canadensis,758076,3446975,Leaf shape,154,Leaf perimeter per leaf area,1541,0.1167,cm/cm2,,
5823,Astragalus canadensis,758076,3446969,"Leaf area (in case of compound leaves: leaf, petiole included)",3110,Leaf area: in case of compound leaves leaf; petiole and rhachis included,6577,17.9306,cm2,1793.06,mm2
5823,Astragalus canadensis,758076,3446970,Leaf fresh mass,163,Leaf fresh mass,485,0.366,g,0.366,g
5823,Astragalus canadensis,758076,3446973,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",3116,SLA: petiole  included,6583,20.23769751693,m2/kg,20.23769752,mm2 mg-1
5823,Astragalus canadensis,758076,3446972,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",47,Leaf dry matter content per leaf water-saturated mass (LDMC),258,24.207650273224,%,0.242076503,g g-1
5823,Astragalus canadensis,758076,3446971,Leaf dry mass (single leaf),55,Leaf dry mass,73,0.0886,g,88.6,mg
5823,Astragalus canadensis,758077,3446983,Plant biomass and allometry: Stem dry mass per plant,128,Stem dry mass per plant,372,0.851,g,0.851,g
5823,Astragalus canadensis,758077,3446984,Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume),4,Wood density; stem specific density; wood specific gravity,4,2.17154659657944E-02,g/cm3,,
5823,Astragalus canadensis,758077,3446982,Stem diameter,21,Stem diameter,823,0.57,mm,0.0057,m
5823,Astragalus canadensis,758077,3446981,Stem length,326,Stem length,822,10,cm,0.1,m
5823,Astragalus canadensis,759508,3461837,Crown (canopy) width,325,Canopy width; crown width (diameter perpendicular to first axis),819,28,cm,0.28,m
5823,Astragalus canadensis,759508,3461834,Plant height generative,3107,Plant height reproductive / generative,503,104,cm,1.04,m
5823,Astragalus canadensis,759508,3461835,Plant height vegetative,3106,Plant height vegetative,19,98,cm,0.98,m
5823,Astragalus canadensis,759508,3461836,Crown (canopy) length: diameter along the longest axis,324,Canopy length; crown length (horizontal diameter along the longest axis),818,47,cm,0.47,m
5823,Astragalus canadensis,759509,3461841,Crown (canopy) width,325,Canopy width; crown width (diameter perpendicular to first axis),819,43,cm,0.43,m
5823,Astragalus canadensis,759509,3461838,Plant height generative,3107,Plant height reproductive / generative,503,97,cm,0.97,m
5823,Astragalus canadensis,759509,3461839,Plant height vegetative,3106,Plant height vegetative,19,101,cm,1.01,m
5823,Astragalus canadensis,759509,3461840,Crown (canopy) length: diameter along the longest axis,324,Canopy length; crown length (horizontal diameter along the longest axis),818,72,cm,0.72,m
5823,Astragalus canadensis,969343,6161828,Plant growth form,42,Plant growth form,47,Forbs,,,
5823,Astragalus canadensis,984124,6205164,Plant growth form,42,Plant growth form,47,herb,,,
5823,Astragalus canadensis,984124,6205165,Leaf photosynthesis pathway,22,Plant photosynthetic pathway,25,C3,,,
5823,Astragalus canadensis,984124,6205166,Leaf type,43,Leaf type,48,broadleaved,,,
5823,Astragalus canadensis,1298655,8900033,Seed dry mass,26,Seed dry mass,30,1.6,mg,1.6,mg
5823,Astragalus canadensis,1298655,8900036,Plant growth form,42,growth form (Moles),191,herb,,,
5823,Astragalus canadensis,1298655,8900039,Plant height vegetative,3106,Maximum plant height,20,0.1524,m,0.1524,m
5823,Astragalus canadensis,1298655,8900029,Seed dry mass,26,Seed mass,177,1.6,mg,1.6,mg
5823,Astragalus canadensis,1299083,8907555,Seed dry mass,26,Seed dry mass,30,1.6,mg,1.6,mg
5823,Astragalus canadensis,1299083,8907557,Plant growth form,42,growth form (Moles),191,herb,,,
5823,Astragalus canadensis,1299083,8907560,Plant height vegetative,3106,Maximum plant height,20,0.1524,m,0.1524,m
5823,Astragalus canadensis,1299083,8907551,Seed dry mass,26,Seed mass,177,1.6,mg,1.6,mg
5823,Astragalus canadensis,1333601,9506661,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",3115,SLA: petiole  excluded,6582,0.00777,g cm-2,12.87001287,mm2 mg-1
5823,Astragalus canadensis,1333601,9506657,Plant growth form,42,Plant growth form,47,Forb,,,
5823,Astragalus canadensis,1333601,9506658,Plant reproductive phenology timing,335,"Onset of flowering (first flowering date, beginning of flowering period)",502,197,doy,,
5823,Astragalus canadensis,1333601,9506660,"Leaf density (leaf tissue density, leaf dry mass per leaf volume)",48,Leaf tissue density,55,0.37,g cm-3,0.37,g/cm3
5823,Astragalus canadensis,1333601,9506659,Leaf thickness,46,Leaf thickness,53,0.21,mm,0.21,mm
5823,Astragalus canadensis,1334075,9510663,Leaf nitrogen (N) isotope signature (delta 15N),78,Leaf delta 15nitrogen,268,-0.63,ä (N2),-0.63,per mill
5823,Astragalus canadensis,1334075,9510662,Plant growth form,42,Plant growth form,47,Forb,,,
5823,Astragalus canadensis,1334075,9510664,Leaf nitrogen (N) content per leaf dry mass,14,Leaf nitrogen content per dry mass (Nmass),15,47.42,mg g-1,47.42,mg/g
5823,Astragalus canadensis,1334075,9510666,Leaf carbon (C) content per leaf dry mass,13,Leaf carbon content per dry mass,14,435.65,mg g-1,435.65,mg/g
5823,Astragalus canadensis,1334075,9510665,Leaf carbon (C) isotope signature (delta 13C),89,Leaf delta 13C (Leaf carbon isotope ratio),283,-28.59,ä (PDB),-28.59,per mill
5823,Astragalus canadensis,1334835,9519015,Root tissue density (root dry mass per root volume),82,Root density,276,0.11428571,g cm-3,0.11428571,g/cm3
5823,Astragalus canadensis,1334835,9519013,"Leaf density (leaf tissue density, leaf dry mass per leaf volume)",48,Leaf tissue density,55,0.53371429,g cm-3,0.53371429,g/cm3
5823,Astragalus canadensis,1334835,9519007,Leaf photosynthesis rate per leaf area,53,Photosynthesis per leaf area at leaf temperature (A_area),68,12.2,micro mol/m2/s,12.2,micro mol m-2 s-1
5823,Astragalus canadensis,1334835,9519012,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",3115,SLA: petiole  excluded,6582,124.910778,cm2 g-1,12.4910778,mm2 mg-1
5823,Astragalus canadensis,1334835,9519008,Stomata conductance per leaf area,45,Stomata conductance to water vapour per leaf area,50,0.173,mol H2O m-2 s-1,173,milli mol m-2 s-1
5823,Astragalus canadensis,1334835,9519018,Root/shoot ratio,9,Root/shoot ratio,10,0.270030685305148,g/g,0.270030685,g/cm3
5823,Astragalus canadensis,1334835,9519016,Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant,403,Shoot dry mass,916,0.2933,g,0.2933,g
5823,Astragalus canadensis,1334835,9519017,Plant biomass and allometry: Root dry mass per plant,363,Root dry mass per plant,915,0.0792,g,0.0792,g
5823,Astragalus canadensis,1334835,50947276,Stomata conductance per leaf dry mass,106,stomata conductance per leaf dry mass,1278,,,2.160956459,milli mol g-1 s-1
5823,Astragalus canadensis,1334835,9519011,Root diameter,83,Root diameter,277,0.2752,mm,0.2752,mm
5823,Astragalus canadensis,1334835,9519014,"Root length per root dry mass (specific root length, SRL)",1080,Root specific length (root length per dry mass; diameter not specified),1924,146.849643,m g-1,14684.9643,cm/g
5823,Astragalus canadensis,1334835,9519009,Leaf photosynthesis: intercellular CO2 concentration,49,Intercellular CO2 concentration (ci),58,260,ppm,260,ppm
5823,Astragalus canadensis,1334835,50873288,Leaf photosynthesis rate per leaf dry mass,40,Photosynthesis per leaf dry mass (Amass),45,,,0.152391149,micro mol g-1 s-1
5823,Astragalus canadensis,1334835,9519010,Leaf thickness,46,Leaf thickness,53,0.15,mm,0.15,mm
5823,Astragalus canadensis,1334836,9519032,Root tissue density (root dry mass per root volume),82,Root density,276,0.21626298,g cm-3,0.21626298,g/cm3
5823,Astragalus canadensis,1334836,9519030,"Leaf density (leaf tissue density, leaf dry mass per leaf volume)",48,Leaf tissue density,55,0.41136853,g cm-3,0.41136853,g/cm3
5823,Astragalus canadensis,1334836,9519023,Leaf photosynthesis rate per leaf area,53,Photosynthesis per leaf area at leaf temperature (A_area),68,11.5,micro mol/m2/s,11.5,micro mol m-2 s-1
5823,Astragalus canadensis,1334836,9519029,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",3115,SLA: petiole  excluded,6582,151.931893,cm2 g-1,15.1931893,mm2 mg-1
5823,Astragalus canadensis,1334836,9519024,Stomata conductance per leaf area,45,Stomata conductance to water vapour per leaf area,50,0.112,mol H2O m-2 s-1,112,milli mol m-2 s-1
5823,Astragalus canadensis,1334836,9519026,Species tolerance to drought,30,Physiological drought tolerance (Psicrit),1936,2.4,Mpa,,
5823,Astragalus canadensis,1334836,9519035,Root/shoot ratio,9,Root/shoot ratio,10,0.2934046735095,g/g,0.293404674,g/cm3
5823,Astragalus canadensis,1334836,9519033,Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant,403,Shoot dry mass,916,0.9158,g,0.9158,g
5823,Astragalus canadensis,1334836,9519034,Plant biomass and allometry: Root dry mass per plant,363,Root dry mass per plant,915,0.2687,g,0.2687,g
5823,Astragalus canadensis,1334836,50947277,Stomata conductance per leaf dry mass,106,stomata conductance per leaf dry mass,1278,,,1.701637202,milli mol g-1 s-1
5823,Astragalus canadensis,1334836,9519028,Root diameter,83,Root diameter,277,0.3947,mm,0.3947,mm
5823,Astragalus canadensis,1334836,9519031,"Root length per root dry mass (specific root length, SRL)",1080,Root specific length (root length per dry mass; diameter not specified),1924,37.757072,m g-1,3775.7072,cm/g
5823,Astragalus canadensis,1334836,9519025,Leaf photosynthesis: intercellular CO2 concentration,49,Intercellular CO2 concentration (ci),58,205,ppm,205,ppm
5823,Astragalus canadensis,1334836,50873289,Leaf photosynthesis rate per leaf dry mass,40,Photosynthesis per leaf dry mass (Amass),45,,,0.174721677,micro mol g-1 s-1
5823,Astragalus canadensis,1334836,9519027,Leaf thickness,46,Leaf thickness,53,0.16,mm,0.16,mm
5823,Astragalus canadensis,1334837,9519049,Root tissue density (root dry mass per root volume),82,Root density,276,0.52733333,g cm-3,0.52733333,g/cm3
5823,Astragalus canadensis,1334837,9519047,"Leaf density (leaf tissue density, leaf dry mass per leaf volume)",48,Leaf tissue density,55,0.27629234,g cm-3,0.27629234,g/cm3
5823,Astragalus canadensis,1334837,9519040,Leaf photosynthesis rate per leaf area,53,Photosynthesis per leaf area at leaf temperature (A_area),68,16.7,micro mol/m2/s,16.7,micro mol m-2 s-1
5823,Astragalus canadensis,1334837,9519046,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",3115,SLA: petiole  excluded,6582,164.516129,cm2 g-1,16.4516129,mm2 mg-1
5823,Astragalus canadensis,1334837,9519041,Stomata conductance per leaf area,45,Stomata conductance to water vapour per leaf area,50,0.236,mol H2O m-2 s-1,236,milli mol m-2 s-1
5823,Astragalus canadensis,1334837,9519043,Species tolerance to drought,30,Physiological drought tolerance (Psicrit),1936,3.2,Mpa,,
5823,Astragalus canadensis,1334837,9519052,Root/shoot ratio,9,Root/shoot ratio,10,0.307107843137255,g/g,0.307107843,g/cm3
5823,Astragalus canadensis,1334837,9519050,Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant,403,Shoot dry mass,916,0.408,g,0.408,g
5823,Astragalus canadensis,1334837,9519051,Plant biomass and allometry: Root dry mass per plant,363,Root dry mass per plant,915,0.1253,g,0.1253,g
5823,Astragalus canadensis,1334837,50947278,Stomata conductance per leaf dry mass,106,stomata conductance per leaf dry mass,1278,,,3.882580644,milli mol g-1 s-1
5823,Astragalus canadensis,1334837,9519045,Root diameter,83,Root diameter,277,0.4128,mm,0.4128,mm
5823,Astragalus canadensis,1334837,9519048,"Root length per root dry mass (specific root length, SRL)",1080,Root specific length (root length per dry mass; diameter not specified),1924,14.1691783,m g-1,1416.91783,cm/g
5823,Astragalus canadensis,1334837,9519042,Leaf photosynthesis: intercellular CO2 concentration,49,Intercellular CO2 concentration (ci),58,257,ppm,257,ppm
5823,Astragalus canadensis,1334837,50873290,Leaf photosynthesis rate per leaf dry mass,40,Photosynthesis per leaf dry mass (Amass),45,,,0.274741935,micro mol g-1 s-1
5823,Astragalus canadensis,1334837,9519044,Leaf thickness,46,Leaf thickness,53,0.22,mm,0.22,mm
5823,Astragalus canadensis,1334838,9519066,Root tissue density (root dry mass per root volume),82,Root density,276,0.38185654,g cm-3,0.38185654,g/cm3
5823,Astragalus canadensis,1334838,9519064,"Leaf density (leaf tissue density, leaf dry mass per leaf volume)",48,Leaf tissue density,55,0.32194093,g cm-3,0.32194093,g/cm3
5823,Astragalus canadensis,1334838,9519057,Leaf photosynthesis rate per leaf area,53,Photosynthesis per leaf area at leaf temperature (A_area),68,15.4,micro mol/m2/s,15.4,micro mol m-2 s-1
5823,Astragalus canadensis,1334838,9519063,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",3115,SLA: petiole  excluded,6582,155.307995,cm2 g-1,15.5307995,mm2 mg-1
5823,Astragalus canadensis,1334838,9519058,Stomata conductance per leaf area,45,Stomata conductance to water vapour per leaf area,50,0.118,mol H2O m-2 s-1,118,milli mol m-2 s-1
5823,Astragalus canadensis,1334838,9519061,"Leaf angle (inclination, orientation)",3,Leaf angle,3,45,degrees,,
5823,Astragalus canadensis,1334838,9519069,Root/shoot ratio,9,Root/shoot ratio,10,0.34522478192798,g/g,0.345224782,g/cm3
5823,Astragalus canadensis,1334838,9519067,Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant,403,Shoot dry mass,916,0.8942,g,0.8942,g
5823,Astragalus canadensis,1334838,9519068,Plant biomass and allometry: Root dry mass per plant,363,Root dry mass per plant,915,0.3087,g,0.3087,g
5823,Astragalus canadensis,1334838,50947279,Stomata conductance per leaf dry mass,106,stomata conductance per leaf dry mass,1278,,,1.832634341,milli mol g-1 s-1
5823,Astragalus canadensis,1334838,9519062,Root diameter,83,Root diameter,277,0.4145,mm,0.4145,mm
5823,Astragalus canadensis,1334838,9519065,"Root length per root dry mass (specific root length, SRL)",1080,Root specific length (root length per dry mass; diameter not specified),1924,19.4054807,m g-1,1940.54807,cm/g
5823,Astragalus canadensis,1334838,9519059,Leaf photosynthesis: intercellular CO2 concentration,49,Intercellular CO2 concentration (ci),58,162,ppm,162,ppm
5823,Astragalus canadensis,1334838,50873291,Leaf photosynthesis rate per leaf dry mass,40,Photosynthesis per leaf dry mass (Amass),45,,,0.239174312,micro mol g-1 s-1
5823,Astragalus canadensis,1334838,9519060,Leaf thickness,46,Leaf thickness,53,0.2,mm,0.2,mm
