Trait	TraitID	Artemisia arctica	Betula glandulosa	Betula nana	Dryas drummondii	Dryas integrifolia	Dryas octopetala	Pedicularis lapponica	Rubus chamaemorus	Salix alaxensis	Salix arbusculoides	Salix arctica	Salix candida	Salix chamissonis	Salix fuscescens	Salix glauca	Salix herbacea	Salix ovalifolia	Salix phlebophylla	Salix planifolia	Salix polaris	Salix pulchra	Salix reticulata	Salix rotundifolia	Stellaria longipes	Salix barclayi	Salix commutata	Salix niphoclada	Salix arctophila	Artemisia arctica ssp arctica	Dryas octopetala ssp octopetala	Salix athabascensis	Artemisia globularia	Artemisia glomerata	Dryas drummondii var eglandulosa	Dryas drummondii var tomentosa	Salix alaxensis var longistylis	Salix ovalifolia var arctolitoralis	Salix ovalifolia var cyclophylla	Salix ovalifolia var glacialis	Salix ovalifolia var ovalifolia
Seed storage behaviour	98	1	1	1	1	0	1	0	1	2	1	1	0	1	1	2	1	1	1	0	1	0	1	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0
Seedling vigor	611	1	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shoot carbon/nitrogen (C/N) ratio	409	1	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Species habitat characterisation / Plant requirement: soil texture	593	3	0	3	3	0	3	0	3	3	3	0	3	0	3	3	0	0	0	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Species occurrence range: native vs invasive	218	1	2	12	1	3	16	2	8	3	1	4	1	0	2	4	9	0	0	2	4	3	12	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Species tolerance to drought	30	1	0	3	1	0	4	0	1	1	1	0	1	0	1	0	2	0	0	1	1	1	3	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Species tolerance to fire	318	1	1	3	2	1	3	0	3	3	2	1	2	0	2	3	0	0	0	2	2	3	3	2	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Species tolerance to frost	31	1	1	4	2	1	4	1	3	4	2	1	3	1	3	3	1	1	1	3	3	3	3	2	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0
Species tolerance to planting density	601	2	0	2	2	0	2	0	2	2	2	0	2	0	2	2	0	0	0	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Bark crystals	831	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	5	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bark sclereids arrangement	834	0	4	1	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	2	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bark secondary compounds: oil, tannins, latex, slime	835	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bark sieve tubes grouping	836	0	3	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0	1	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bark structure 	837	0	4	2	0	3	1	0	3	0	0	0	0	0	0	0	1	0	0	1	4	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dispersal syndrome	28	0	9	1575	0	6	74	0	13	1	1	0	0	0	0	909	940	0	0	0	1	0	1029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root diameter	896	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf area (in case of compound leaves: leaf, petiole included)	3110	0	5	21	0	0	0	6	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf area (in case of compound leaves: leaflet, petiole included)	3111	0	5	95	0	0	0	5	5	0	0	0	0	0	0	40	65	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	3116	0	5	41	0	2	1	13	6	0	0	0	0	0	0	17	22	0	0	1	4	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or exclu	3117	0	10	44	0	10	51	13	21	5	0	9	1	0	4	15	22	0	0	7	16	203	24	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf dry mass (single leaf)	55	0	5	67	0	1	7	6	25	0	0	1	0	0	0	17	33	0	0	1	1	0	25	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf lifespan (longevity)	12	0	2	14	0	3	14	10	3	2	0	3	0	0	0	5	7	0	0	3	7	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf nitrogen (N) content per leaf area	50	0	4	34	0	12	27	13	22	3	0	7	0	0	0	19	17	0	0	7	4	104	12	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf nitrogen (N) content per leaf dry mass	14	0	8	233	0	16	83	30	114	4	0	36	2	0	0	25	35	0	0	7	5	111	24	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf nitrogen/phosphorus (N/P) ratio	56	0	4	29	0	5	23	0	6	1	0	1	2	0	0	6	12	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf palatability	152	0	1	34	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf phenology type	37	0	12	145	0	30	50	6	37	10	2	32	3	1	7	28	35	1	1	14	17	88	35	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf phosphorus (P) content per leaf dry mass	15	0	4	74	0	11	49	0	16	1	0	1	2	0	0	7	26	0	0	0	1	7	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf phosphorus (P) retranslocation prior to leaf senescence	3026	0	1	1	0	1	0	0	1	0	0	8	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf photosynthesis pathway	22	0	6	122	1	20	37	17	51	5	1	17	2	1	4	18	29	1	2	10	12	83	29	17	2	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Leaf photosynthesis rate per leaf area	53	0	4	5	0	6	3	0	6	0	0	8	0	0	3	7	0	0	0	6	0	55	4	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf photosynthesis rate per leaf dry mass	40	0	4	5	0	6	3	0	7	0	0	0	0	0	3	8	0	0	0	6	1	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf width	145	0	1	3	0	1	3	0	1	1	0	3	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycorrhiza type	7	0	23	219	0	18	87	27	100	1	0	46	1	0	0	31	44	0	0	0	23	2	47	6	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant functional type (PFT)	197	0	6	24	0	18	37	12	18	6	0	12	0	0	6	25	6	0	0	13	12	36	24	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant growth rate relative (plant relative growth rate, RGR)	77	0	1	1	0	1	11	0	2	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant height vegetative	3106	0	4	67	2	3	33	11	22	9	7	3	2	1	2	19	29	0	0	4	4	5	34	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant morphological adaptations: seed or dispersal unit metamorphoses	813	0	1	6	0	1	6	0	6	1	0	1	0	0	0	1	5	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant nitrogen(N) fixation capacity	8	0	7	110	4	12	47	17	61	6	0	14	0	0	5	13	19	0	0	8	10	6	20	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Pollination syndrome	29	0	1	7	0	1	12	0	5	1	0	1	0	0	0	1	9	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root phosphorus (P) uptake rate per root dry mass	390	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root type, root architecture	65	0	1	2	0	1	3	1	6	0	0	1	0	0	0	1	6	0	0	0	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species genotype: chromosome cDNA content	224	0	6	117	0	3	63	17	52	2	0	17	1	0	1	8	20	0	0	1	10	2	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species genotype: chromosome number	223	0	6	120	0	3	67	0	54	2	0	17	1	0	1	8	22	0	0	1	10	2	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species genotype: chromosome ploidy	222	0	6	122	0	3	66	0	54	2	0	17	1	0	1	8	22	0	0	1	10	2	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species occurrence range: climate type	825	0	5	159	0	7	41	12	62	1	0	13	2	0	1	16	16	0	0	4	8	47	13	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stem nitrogen (N) content per stem dry mass	406	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stem nitrogen/phosphorus (N/P) ratio	686	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stem phosphorus (P) content per stem dry mass	616	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stem pith type	1233	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wood axial parenchyma types	1211	0	1	1	0	1	1	2	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wood fiber cell wall thickness	1216	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wood fiber-pits types	1220	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wood growth ring distinction	273	0	3	3	0	3	5	3	3	0	0	3	0	0	0	0	3	0	0	3	3	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wood ray types	1234	0	3	2	0	2	2	3	3	0	0	3	0	0	0	0	2	0	0	2	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wood vessel density	1237	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wood vessel diameter	1238	0	1	1	0	1	1	1	2	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wood vessel distribution	1239	0	1	1	0	2	2	2	2	0	0	2	0	0	0	0	2	0	0	2	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wood vessel intervessel pits	1240	0	1	1	0	1	1	2	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wood vessel perforation plates	278	0	1	1	0	1	4	1	2	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bark surface structure, texture, age	838	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ carbon (C) content per belowground plant organ dry mass	2551	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ carbon/nitrogen (C/N) ratio	2569	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ cellulose and hemicellulose content per belowground plant organ dry mass	2623	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ decomposition: fraction carbon (C) remaining	3336	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ decomposition: fraction nitrogen (N) remaining	3337	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ decomposition: fraction of belowground plant organ dry mass not decomposed t	2677	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ dry mass per ground area	2563	0	0	5	0	0	0	0	6	0	0	0	0	0	0	1	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ dry mass soluble in nonpolar extractives per belowground plant organ dry mas	2647	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ dry mass to leaf dry mass ratio	2771	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ growth: belowground plant organ dry mass production per ground area per year	2700	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ lignin content per belowground plant organ dry mass	2552	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ nitrogen (N) content per belowground plant organ dry mass	2547	0	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ phenols content per belowground plant organ dry mass	2585	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ phosphorus (P) content per belowground plant organ dry mass	2561	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ ratio of lignin to nitrogen (N)	2666	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ respiration rate per belowground plant organ dry mass	2559	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ rooting depth	2545	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ water soluble sugar content per belowground plant organ dry mass	2659	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belowground plant organ/shoot ratio	2546	0	0	9	0	1	0	0	7	0	0	1	0	0	0	1	0	0	1	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Budbank height distribution	153	0	0	57	0	0	28	24	62	0	0	0	0	0	0	0	73	0	0	0	24	5	23	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Budbank seasonality	865	0	0	25	0	0	11	15	40	0	0	0	0	0	0	0	42	0	0	0	14	3	14	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dispersal frequenzy	890	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dispersal unit appendages	892	0	0	5	0	0	5	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dispersal unit dry mass	233	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dispersal unit exposure 	893	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dispersal unit floating capacity	1263	0	0	785	0	0	40	0	0	0	0	0	0	0	0	464	485	0	0	0	0	0	531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dispersal unit length	237	0	0	14	0	0	7	0	6	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dispersal unit shape	232	0	0	8	0	0	6	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dispersal unit thickness 	235	0	0	14	0	0	7	0	6	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dispersal unit width	236	0	0	14	0	0	7	0	6	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root carbon (C) content per fine root dry mass	471	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root carbon/nitrogen (C/N) ratio	167	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root dry mass per fine root fresh mass (fine root dry matter content; RDMC)	695	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root dry mass per ground area	1795	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root dry mass to leaf dry mass ratio	2003	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root lignin carbon (C) content per fine root carbon (C) content	424	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root lignin content per fine root dry mass	1784	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root nitrogen (N) content per fine root dry mass	475	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root nitrogen (N) uptake preference: ammonium (NH4+), nitrate (NO3-), organic nitrogen (N)	1994	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root pH	699	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root phosphorus (P) content per fine root dry mass	698	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root ratio of lignin to nitrogen (N)	1898	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fine root/shoot ratio	1778	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flower color	207	0	0	3	1	0	3	0	3	0	1	0	1	0	1	1	2	0	0	1	1	1	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flower insemination autogamous or xenogamous	204	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flower pollinator and type of reward	205	0	0	3	0	0	4	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flower sex	213	0	0	2	0	0	9	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flower sex timing	212	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
