Trait	TraitID	Anemone cylindrica	Coreopsis lanceolata	Echinacea angustifolia	Echinacea pallida	Echinacea purpurea	Helianthus grosseserratus	Helianthus maximiliani	Heliopsis helianthoides	Hypericum perforatum	Liatris pycnostachya	Monarda fistulosa	Parthenium integrifolium	Pycnanthemum virginianum	Ratibida pinnata	Silphium integrifolium	Silphium laciniatum	Silphium perfoliatum	Silphium terebinthinaceum	Silphium trifoliatum	Solidago canadensis	Solidago rigida	Solidago rugosa	Solidago speciosa	Veronicastrum virginicum	Penstemon digitalis	Coreopsis tripteris	Rudbeckia subtomentosa	Symphyotrichum novae-angliae	Aster	Echinacea tennesseensis	Helenium linifolium	Silphium perfoliatum var perfoliatum	Symphyotrichum adnatum	Heliopsis helianthoides var helianthoides	Silphium integrifolium var integrifolium	Silphium integrifolium var laeve	Silphium perfoliatum var connatum	Silphium terebinthinaceum var luciae-brauniae	Silphium terebinthinaceum var terebinthinaceum
Plant biomass and allometry: Belowground plant organ mass fraction (fraction of belowground plant or	2773	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant biomass and allometry: Leaf dry mass per plant dry mass (leaf weight ratio, LWR)	110	2	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	6	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Plant functional type (PFT)	197	18	0	6	0	6	0	0	0	7	0	0	0	0	0	12	0	0	12	0	5	18	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Plant growth form	42	58	20	24	24	32	44	23	51	709	20	112	26	14	38	30	21	12	28	7	1430	128	295	21	28	13	10	6	136	16	5	5	1	8	1	3	2	3	1	2
Plant growth form detailed consolidated	3401	1	0	1	1	1	2	1	1	0	1	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0
Plant growth form simple consolidated	3400	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0
Plant growth rate relative (plant relative growth rate, RGR)	77	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Plant height vegetative	3106	9	54	0	54	2	22	53	80	113	3	121	53	10	66	53	54	2	59	0	835	85	216	5	24	53	0	0	31	6	0	0	0	0	0	0	0	0	0	0
Plant lifespan (longevity)	59	6	4	1	6	3	4	3	7	43	3	10	2	1	7	4	3	2	4	0	27	9	3	2	2	3	0	0	12	2	0	0	0	0	0	0	0	0	0	0
Plant nitrogen(N) fixation capacity	8	11	0	5	0	8	0	0	1	7	0	10	0	1	4	8	4	1	9	0	8	20	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
Plant woodiness	38	13	2	3	5	5	4	3	5	30	2	14	2	3	8	8	4	3	8	4	23	14	2	7	3	2	2	1	8	3	0	0	0	0	0	0	0	0	0	0
Root nitrogen (N) content per root dry mass	80	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root respiration rate per root dry mass	514	9	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root/shoot ratio	9	1	0	6	1	0	0	0	8	1	5	3	0	0	6	4	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed dry mass	26	15	66	10	59	8	16	62	71	83	12	78	61	69	61	59	59	7	58	0	96	20	15	13	14	77	6	6	21	0	0	0	0	0	0	0	0	0	0	0
Seed germination rate (germination efficiency)	95	1	5	0	1	4	0	7	0	8	7	6	0	1	6	0	0	0	0	0	4	0	0	6	0	0	0	0	6	3	0	0	4	0	0	0	0	0	0	0
Seed oil content per seed mass	96	2	0	6	0	0	0	6	6	6	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Seed protein content per seed mass	97	2	0	6	0	0	0	6	6	6	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Species genotype: chromosome cDNA content	224	6	1	0	0	0	12	2	0	65	0	0	0	0	0	0	0	0	0	0	628	37	120	0	8	0	0	0	55	3	0	0	0	0	0	0	0	0	0	0
Species genotype: chromosome number	223	6	1	0	0	0	12	2	0	67	0	0	0	0	0	0	0	0	0	0	635	37	120	0	8	0	0	0	57	3	0	0	0	0	0	0	0	0	0	0
Species genotype: chromosome ploidy	222	6	1	0	0	0	12	2	0	71	0	0	0	0	0	0	0	1	0	0	634	37	120	0	8	0	0	0	57	3	0	0	0	0	0	0	0	0	0	0
Species occurrence range: climate type	825	10	0	1	1	2	0	0	0	6	0	10	1	0	2	4	0	0	3	0	4	16	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
Species occurrence range: native vs invasive	218	2	2	1	1	2	1	1	0	4	1	2	0	0	1	1	0	1	1	0	13	2	1	0	0	1	0	0	7	1	0	0	0	0	0	0	0	0	0	0
Species tolerance to frost	31	1	2	1	2	3	2	2	1	1	2	5	0	1	3	1	1	3	1	1	4	1	3	1	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Stem carbon/nitrogen (C/N) ratio	165	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stomata conductance per leaf area	45	8	0	7	1	5	0	0	11	2	4	2	0	0	6	10	6	0	6	0	0	8	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Stomata conductance per leaf dry mass	106	8	0	5	1	5	0	0	10	0	3	2	0	0	6	9	6	0	6	0	0	8	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Flower hairy	3008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Dispersal unit dry mass	233	0	1	0	1	0	0	1	1	1	3	0	1	0	1	1	1	0	1	0	4	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Dispersal unit type	231	0	1	0	1	1	1	1	0	279	1	2	0	0	1	0	0	1	0	0	177	0	1	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Flower color	207	0	2	0	1	1	1	1	0	2	1	2	0	0	1	0	0	1	0	0	3	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Flower conspicuous	581	0	1	0	1	1	1	1	0	0	1	2	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flower corolla type	2936	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flower petal number	2937	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flower stamen number	2938	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flower symmetry type (flower shape)	2935	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Flowering requirement (requirement for fertility)	597	0	1	0	1	1	1	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fruit dehiscence type	2940	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fruit pericarp type	2939	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fruit surface type	2941	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fruit type	99	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Fruit/seed abundance	605	0	1	0	1	1	1	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fruit/seed color	585	0	1	0	1	1	1	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fruit/seed conspicuous	586	0	1	0	1	1	1	1	0	0	1	2	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inflorescence type	2934	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf chlorophyll content per leaf area	413	0	4	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf chlorophyll content per leaf dry mass	164	0	4	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf color	582	0	2	0	2	2	2	2	0	0	2	4	0	0	2	0	0	1	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf density (leaf tissue density, leaf dry mass per leaf volume)	48	0	1	7	0	0	0	2	9	23	3	4	0	0	7	4	6	0	0	0	12	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf distribution along the shoot axis (arrangement type)	16	0	1	0	0	0	0	0	1	28	0	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	47	0	54	0	52	0	43	52	106	229	13	203	52	14	91	52	58	0	58	0	2066	130	441	10	53	52	0	0	226	9	0	0	0	0	0	0	0	0	0	0
Leaf light absorption (extinction)	10	0	4	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf margin type	963	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Leaf porosity	583	0	2	0	2	2	2	2	0	0	2	4	0	0	2	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf shape	154	0	2	0	0	0	32	0	38	6	0	73	0	4	9	0	1	0	1	0	54	43	4	0	33	0	0	0	47	7	0	0	0	0	0	0	0	0	0	0
Leaf texture (sclerophylly, physical strength, toughness)	2	0	1	0	1	1	1	1	0	9	1	22	0	20	1	0	0	0	0	0	59	0	1	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Leaf thickness	46	0	1	7	0	0	0	2	10	26	3	4	0	0	7	5	6	0	0	0	4	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leaf venation type	2813	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Leaf water content per leaf dry mass (not saturated)	3120	0	2	0	0	0	24	0	34	80	6	84	0	0	26	0	4	0	4	0	1246	46	240	0	16	0	0	0	80	6	0	0	0	0	0	0	0	0	0	0
Plant defence mechanisms: chemical	346	0	1	0	1	1	1	1	0	8	1	2	0	0	1	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant growth rate	587	0	1	0	1	1	1	1	0	1	1	3	0	0	2	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant height generative	3107	0	1	0	1	0	19	1	21	150	1	81	1	60	12	1	2	0	6	0	81	21	0	0	3	45	0	0	132	0	0	0	0	0	0	0	0	0	0	0
Plant height of lowest flower	3361	0	1	0	1	0	0	1	1	0	0	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant human usage types	604	0	12	0	13	13	13	13	0	0	13	25	0	0	13	0	0	11	0	0	13	0	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant life form (Raunkiaer life form)	343	0	1	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0
Plant moisture use type	599	0	1	0	1	1	1	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant palatability	679	0	5	0	5	5	5	5	0	0	5	10	0	0	5	0	0	1	0	0	5	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant propagation type	609	0	9	0	9	9	9	9	0	1	9	18	0	0	9	0	0	9	0	0	11	0	9	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Plant reproductive phenology timing	335	0	56	1	56	4	4	57	53	58	56	61	52	0	59	53	55	1	54	0	32	53	4	1	0	56	0	0	11	0	0	0	0	0	0	0	0	0	0	0
Plant resprouting capacity	819	0	1	0	1	1	1	1	0	3	1	2	0	0	2	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Plant vegetative phenology (leaf phenology)	1251	0	2	0	2	2	2	2	0	1	2	4	0	0	2	0	0	1	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant vegetative regeneration capacity	344	0	1	0	1	1	1	1	0	6	1	2	0	0	1	0	0	0	0	0	5	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
Plant vegetative reproduction: spread rate	613	0	1	0	1	1	1	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant vital attributes of persistence and establishment	320	0	104	0	103	0	0	103	103	1	103	103	103	0	103	103	103	0	103	0	0	103	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pollination syndrome	29	0	1	0	1	0	0	1	1	22	1	1	1	0	1	1	1	0	1	0	16	1	0	1	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0
Root rooting depth	6	0	1	0	7	1	1	1	0	4	2	2	2	0	5	4	2	0	2	0	3	6	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Seed germination requirement	596	0	1	0	1	1	1	1	0	13	1	2	0	0	1	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed spread rate	610	0	1	0	1	1	1	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed storage behaviour	98	0	3	0	1	2	0	1	2	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seed terminal velocity	66	0	52	0	52	0	0	52	0	66	0	0	52	0	0	52	52	0	52	0	42	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seedling vigor	611	0	1	0	1	1	1	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shoot carbon/nitrogen (C/N) ratio	409	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species habitat characterisation / Plant requirement: precipitation	602	0	2	0	2	2	2	2	0	0	2	4	0	0	2	0	0	2	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species habitat characterisation / Plant requirement: soil pH	600	0	2	0	2	2	2	2	0	0	2	4	0	0	2	0	0	2	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species habitat characterisation / Plant requirement: soil texture	593	0	3	0	3	3	3	3	0	0	3	6	0	0	3	0	0	3	0	0	3	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species occurrence range: elevation range	1141	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species tolerance to CaCO3	595	0	1	0	1	1	1	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species tolerance to drought	30	0	1	4	2	1	1	1	6	0	4	4	0	0	4	3	4	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species tolerance to fire	318	0	7	0	2	2	2	2	0	8	2	4	0	0	2	0	0	1	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species tolerance to planting density	601	0	2	0	0	0	2	2	0	0	2	4	0	0	2	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species tolerance to salt	1254	0	1	0	1	1	1	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species tolerance to shade	603	0	1	0	1	1	1	1	0	5	1	2	0	0	1	0	0	0	0	0	7	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Species tolerance to waterlogging	61	0	1	0	1	1	1	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
